0,0.08,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,
0.08,3.94475e-005,9.4747e-006,2.36703e-006,-9.8461e-007,-7.61483e-007,6.38752e-008,8.36614e-007,1.41304e-006,1.80563e-006,2.04426e-006,2.16224e-006,2.19101e-006,2.15615e-006,2.07649e-006,1.96955e-006,1.84874e-006,1.72347e-006,1.60032e-006,1.48284e-006,1.37292e-006,1.27116e-006,1.17776e-006,1.09218e-006,1.01326e-006,9.39555e-007,8.6894e-007,8.00866e-007,7.3491e-007,6.70679e-007,6.08356e-007,5.49328e-007,4.95508e-007,4.48137e-007,4.0791e-007,3.7542e-007,3.50911e-007,3.34465e-007,3.26225e-007,3.26693e-007,3.36353e-007,3.54842e-007,3.80933e-007,4.1317e-007,4.50232e-007,4.90973e-007,5.346e-007,5.80602e-007,6.2861e-007,6.78321e-007,7.29437e-007,7.81634e-007,
0.5,9.4747e-006,6.37052e-005,5.52871e-005,4.08082e-005,3.52582e-005,3.26862e-005,3.10998e-005,2.98087e-005,2.85941e-005,2.73813e-005,2.61554e-005,2.49271e-005,2.37115e-005,2.25172e-005,2.13519e-005,2.0218e-005,1.91149e-005,1.80395e-005,1.69874e-005,1.59561e-005,1.49459e-005,1.39613e-005,1.30117e-005,1.21074e-005,1.12618e-005,1.04877e-005,9.79678e-006,9.19772e-006,8.69529e-006,8.29121e-006,7.98488e-006,7.77362e-006,7.65232e-006,7.61457e-006,7.653e-006,7.76036e-006,7.9288e-006,8.15089e-006,8.42e-006,8.72989e-006,9.07404e-006,9.44646e-006,9.84141e-006,1.02541e-005,1.0681e-005,1.11197e-005,1.15689e-005,1.20274e-005,1.24944e-005,1.2969e-005,1.34503e-005,
1,2.36703e-006,5.52871e-005,8.13803e-005,7.63084e-005,6.82758e-005,6.14788e-005,5.60443e-005,5.16454e-005,4.80063e-005,4.49383e-005,4.23137e-005,4.00422e-005,3.80555e-005,3.62962e-005,3.47136e-005,3.32637e-005,3.19101e-005,3.06218e-005,2.93741e-005,2.81502e-005,2.69416e-005,2.57482e-005,2.45784e-005,2.34433e-005,2.23593e-005,2.13436e-005,2.04124e-005,1.95794e-005,1.88543e-005,1.82436e-005,1.77497e-005,1.73717e-005,1.71059e-005,1.69473e-005,1.68898e-005,1.6927e-005,1.70511e-005,1.72546e-005,1.75298e-005,1.78687e-005,1.82624e-005,1.87024e-005,1.91808e-005,1.96907e-005,2.02267e-005,2.07857e-005,2.13651e-005,2.19624e-005,2.25757e-005,2.32029e-005,2.38419e-005,
1.5,-9.8461e-007,4.08082e-005,7.63084e-005,8.03333e-005,7.48421e-005,6.85034e-005,6.29066e-005,5.82065e-005,5.42723e-005,5.09594e-005,4.81452e-005,4.57287e-005,4.3628e-005,4.17741e-005,4.01045e-005,3.85662e-005,3.71167e-005,3.57213e-005,3.43547e-005,3.30014e-005,3.16559e-005,3.03227e-005,2.90138e-005,2.77447e-005,2.6534e-005,2.5401e-005,2.43631e-005,2.34347e-005,2.26266e-005,2.19451e-005,2.13927e-005,2.09676e-005,2.06651e-005,2.04795e-005,2.04044e-005,2.04329e-005,2.05568e-005,2.07683e-005,2.10588e-005,2.14193e-005,2.18397e-005,2.23107e-005,2.28235e-005,2.33709e-005,2.39473e-005,2.45493e-005,2.51742e-005,2.58194e-005,2.64826e-005,2.71614e-005,2.78534e-005,
2,-7.61483e-007,3.52582e-005,6.82758e-005,7.48421e-005,7.18404e-005,6.73966e-005,6.3209e-005,5.95643e-005,5.64248e-005,5.37067e-005,5.13273e-005,4.9214e-005,4.73055e-005,4.5549e-005,4.38965e-005,4.23077e-005,4.07519e-005,3.92066e-005,3.7658e-005,3.61021e-005,3.45441e-005,3.29979e-005,3.14837e-005,3.00228e-005,2.86382e-005,2.73515e-005,2.61814e-005,2.51424e-005,2.42444e-005,2.34925e-005,2.28876e-005,2.24262e-005,2.21019e-005,2.1907e-005,2.1833e-005,2.18715e-005,2.2013e-005,2.22485e-005,2.25684e-005,2.29627e-005,2.34204e-005,2.39314e-005,2.44862e-005,2.50771e-005,2.56985e-005,2.63468e-005,2.70193e-005,2.77132e-005,2.84261e-005,2.91555e-005,2.9899e-005,
2.5,6.38752e-008,3.26862e-005,6.14788e-005,6.85034e-005,6.73966e-005,6.47941e-005,6.21438e-005,5.97319e-005,5.75668e-005,5.56064e-005,5.38016e-005,5.21067e-005,5.0482e-005,4.88925e-005,4.73067e-005,4.56999e-005,4.40566e-005,4.23687e-005,4.06369e-005,3.88709e-005,3.70882e-005,3.5314e-005,3.3577e-005,3.1906e-005,3.03288e-005,2.88702e-005,2.75507e-005,2.63851e-005,2.53826e-005,2.45474e-005,2.38786e-005,2.33714e-005,2.30175e-005,2.28071e-005,2.27298e-005,2.27754e-005,2.29327e-005,2.31914e-005,2.35408e-005,2.39699e-005,2.4467e-005,2.50209e-005,2.56215e-005,2.62604e-005,2.69318e-005,2.7632e-005,2.8358e-005,2.91069e-005,2.98762e-005,3.06632e-005,3.14652e-005,
3,8.36614e-007,3.10998e-005,5.60443e-005,6.29066e-005,6.3209e-005,6.21438e-005,6.08532e-005,5.95774e-005,5.83426e-005,5.713e-005,5.59121e-005,5.46614e-005,5.33538e-005,5.19676e-005,5.04849e-005,4.88949e-005,4.71955e-005,4.53928e-005,4.35016e-005,4.15448e-005,3.95528e-005,3.75615e-005,3.56093e-005,3.3732e-005,3.19631e-005,3.03311e-005,2.88587e-005,2.75614e-005,2.64485e-005,2.5523e-005,2.47832e-005,2.42229e-005,2.38322e-005,2.35998e-005,2.35131e-005,2.35601e-005,2.37282e-005,2.40057e-005,2.4381e-005,2.4842e-005,2.53761e-005,2.59712e-005,2.66165e-005,2.7303e-005,2.80245e-005,2.87771e-005,2.95575e-005,3.03628e-005,3.119e-005,3.20362e-005,3.28987e-005,
3.5,1.41304e-006,2.98087e-005,5.16454e-005,5.82065e-005,5.95643e-005,5.97319e-005,5.95774e-005,5.92854e-005,5.88832e-005,5.83624e-005,5.7706e-005,5.68964e-005,5.59185e-005,5.47587e-005,5.34089e-005,5.18688e-005,5.01478e-005,4.82646e-005,4.62464e-005,4.41288e-005,4.19541e-005,3.97688e-005,3.76204e-005,3.55524e-005,3.36036e-005,3.18067e-005,3.01871e-005,2.87614e-005,2.75389e-005,2.65224e-005,2.57094e-005,2.50926e-005,2.46611e-005,2.44017e-005,2.43005e-005,2.43436e-005,2.4517e-005,2.48078e-005,2.52034e-005,2.56909e-005,2.62568e-005,2.68882e-005,2.75734e-005,2.8303e-005,2.90704e-005,2.98713e-005,3.07023e-005,3.15601e-005,3.24416e-005,3.33436e-005,3.42631e-005,
4,1.80563e-006,2.85941e-005,4.80063e-005,5.42723e-005,5.64248e-005,5.75668e-005,5.83426e-005,5.88832e-005,5.9209e-005,5.93129e-005,5.91807e-005,5.87978e-005,5.81523e-005,5.72345e-005,5.60423e-005,5.4583e-005,5.28748e-005,5.09469e-005,4.88377e-005,4.65939e-005,4.42687e-005,4.19187e-005,3.96e-005,3.73633e-005,3.52529e-005,3.3306e-005,3.15504e-005,3.00045e-005,2.86778e-005,2.75733e-005,2.66879e-005,2.60137e-005,2.55388e-005,2.52487e-005,2.5128e-005,2.51617e-005,2.53343e-005,2.56319e-005,2.6041e-005,2.65478e-005,2.71382e-005,2.77984e-005,2.85161e-005,2.92814e-005,3.00872e-005,3.09292e-005,3.18034e-005,3.27064e-005,3.36349e-005,3.45854e-005,3.55546e-005,
4.5,2.04426e-006,2.73813e-005,4.49383e-005,5.09594e-005,5.37067e-005,5.56064e-005,5.713e-005,5.83624e-005,5.93129e-005,5.99704e-005,6.03182e-005,6.03398e-005,6.00221e-005,5.93557e-005,5.83411e-005,5.69903e-005,5.53283e-005,5.33923e-005,5.123e-005,4.88979e-005,4.64588e-005,4.39781e-005,4.152e-005,3.91419e-005,3.68936e-005,3.48161e-005,3.29405e-005,3.12866e-005,2.98648e-005,2.86782e-005,2.77237e-005,2.6993e-005,2.64734e-005,2.61496e-005,2.60052e-005,2.60238e-005,2.6189e-005,2.6486e-005,2.69004e-005,2.74181e-005,2.80239e-005,2.87035e-005,2.94441e-005,3.02353e-005,3.10698e-005,3.19428e-005,3.28502e-005,3.37883e-005,3.47535e-005,3.57422e-005,3.67508e-005,
5,2.16224e-006,2.61554e-005,4.23137e-005,4.81452e-005,5.13273e-005,5.38016e-005,5.59121e-005,5.7706e-005,5.91807e-005,6.03182e-005,6.10962e-005,6.14931e-005,6.14913e-005,6.10792e-005,6.02572e-005,5.90394e-005,5.74552e-005,5.55478e-005,5.33721e-005,5.09925e-005,4.84798e-005,4.59071e-005,4.33455e-005,4.08585e-005,3.85007e-005,3.63172e-005,3.43419e-005,3.25963e-005,3.10919e-005,2.98322e-005,2.88145e-005,2.803e-005,2.7466e-005,2.71064e-005,2.69342e-005,2.69321e-005,2.70828e-005,2.7371e-005,2.77818e-005,2.83002e-005,2.89107e-005,2.95986e-005,3.03506e-005,3.11559e-005,3.20069e-005,3.28986e-005,3.38267e-005,3.47872e-005,3.57763e-005,3.67902e-005,3.78251e-005,
5.5,2.19101e-006,2.49271e-005,4.00422e-005,4.57287e-005,4.9214e-005,5.21067e-005,5.46614e-005,5.68964e-005,5.87978e-005,6.03398e-005,6.14931e-005,6.22289e-005,6.25241e-005,6.23626e-005,6.17426e-005,6.06787e-005,5.92018e-005,5.73593e-005,5.5211e-005,5.28272e-005,5.02849e-005,4.76634e-005,4.50391e-005,4.24809e-005,4.00476e-005,3.77877e-005,3.57377e-005,3.39209e-005,3.23501e-005,3.10295e-005,2.99566e-005,2.91232e-005,2.85162e-005,2.81196e-005,2.79158e-005,2.78872e-005,2.8016e-005,2.82864e-005,2.86831e-005,2.91909e-005,2.9794e-005,3.04773e-005,3.12271e-005,3.20326e-005,3.28859e-005,3.37819e-005,3.47159e-005,3.56838e-005,3.66816e-005,3.77055e-005,3.87512e-005,
6,2.15615e-006,2.37115e-005,3.80555e-005,4.3628e-005,4.73055e-005,5.0482e-005,5.33538e-005,5.59185e-005,5.81523e-005,6.00221e-005,6.14913e-005,6.25241e-005,6.30906e-005,6.31696e-005,6.27559e-005,6.18622e-005,6.05198e-005,5.87775e-005,5.66981e-005,5.43555e-005,5.18308e-005,4.92074e-005,4.6566e-005,4.39791e-005,4.1509e-005,3.92069e-005,3.71116e-005,3.52483e-005,3.36308e-005,3.22642e-005,3.11469e-005,3.02711e-005,2.96241e-005,2.91899e-005,2.89512e-005,2.88902e-005,2.89891e-005,2.9232e-005,2.96034e-005,3.00881e-005,3.06701e-005,3.13342e-005,3.20669e-005,3.2857e-005,3.36966e-005,3.45804e-005,3.55036e-005,3.64619e-005,3.74512e-005,3.84674e-005,3.95065e-005,
6.5,2.07649e-006,2.25172e-005,3.62962e-005,4.17741e-005,4.5549e-005,4.88925e-005,5.19676e-005,5.47587e-005,5.72345e-005,5.93557e-005,6.10792e-005,6.23626e-005,6.31696e-005,6.34737e-005,6.32655e-005,6.25546e-005,6.13707e-005,5.97624e-005,5.7793e-005,5.55378e-005,5.30797e-005,5.05044e-005,4.78948e-005,4.53257e-005,4.28616e-005,4.05557e-005,3.84486e-005,3.65669e-005,3.49256e-005,3.3531e-005,3.23822e-005,3.14725e-005,3.07897e-005,3.03186e-005,3.00422e-005,2.99433e-005,3.00045e-005,3.02098e-005,3.05441e-005,3.09922e-005,3.15385e-005,3.2168e-005,3.28671e-005,3.36249e-005,3.44333e-005,3.52869e-005,3.61809e-005,3.71108e-005,3.80726e-005,3.9062e-005,4.00748e-005,
7,1.96955e-006,2.13519e-005,3.47136e-005,4.01045e-005,4.38965e-005,4.73067e-005,5.04849e-005,5.34089e-005,5.60423e-005,5.83411e-005,6.02572e-005,6.17426e-005,6.27559e-005,6.32655e-005,6.32573e-005,6.27375e-005,6.17327e-005,6.02893e-005,5.84694e-005,5.63471e-005,5.40051e-005,5.1529e-005,4.9002e-005,4.64997e-005,4.40871e-005,4.18188e-005,3.97364e-005,3.78674e-005,3.6228e-005,3.48257e-005,3.36607e-005,3.27274e-005,3.20148e-005,3.15084e-005,3.11926e-005,3.1051e-005,3.10667e-005,3.12245e-005,3.15097e-005,3.19078e-005,3.24034e-005,3.29821e-005,3.36306e-005,3.43382e-005,3.5097e-005,3.59015e-005,3.67468e-005,3.76285e-005,3.85425e-005,3.94846e-005,4.04505e-005,
7.5,1.84874e-006,2.0218e-005,3.32637e-005,3.85662e-005,4.23077e-005,4.56999e-005,4.88949e-005,5.18688e-005,5.4583e-005,5.69903e-005,5.90394e-005,6.06787e-005,6.18622e-005,6.25546e-005,6.27375e-005,6.24129e-005,6.16037e-005,6.03527e-005,5.87185e-005,5.67723e-005,5.45943e-005,5.22677e-005,4.98742e-005,4.74881e-005,4.5174e-005,4.29862e-005,4.09664e-005,3.91431e-005,3.75333e-005,3.61454e-005,3.49812e-005,3.40363e-005,3.33011e-005,3.27626e-005,3.24068e-005,3.22184e-005,3.21819e-005,3.22829e-005,3.25077e-005,3.28423e-005,3.32725e-005,3.37843e-005,3.43652e-005,3.50047e-005,3.56953e-005,3.64316e-005,3.72085e-005,3.80218e-005,3.88673e-005,3.9741e-005,4.06386e-005,
8,1.72347e-006,1.91149e-005,3.19101e-005,3.71167e-005,4.07519e-005,4.40566e-005,4.71955e-005,5.01478e-005,5.28748e-005,5.53283e-005,5.74552e-005,5.92018e-005,6.05198e-005,6.13707e-005,6.17327e-005,6.16037e-005,6.10021e-005,5.99663e-005,5.85496e-005,5.68187e-005,5.4849e-005,5.27195e-005,5.05083e-005,4.82866e-005,4.61169e-005,4.40522e-005,4.21336e-005,4.03896e-005,3.88377e-005,3.74875e-005,3.63423e-005,3.53992e-005,3.465e-005,3.4084e-005,3.36888e-005,3.34511e-005,3.33568e-005,3.33929e-005,3.35469e-005,3.3806e-005,3.41569e-005,3.45867e-005,3.50836e-005,3.5638e-005,3.62426e-005,3.68919e-005,3.75812e-005,3.83064e-005,3.90633e-005,3.98479e-005,4.06564e-005,
8.5,1.60032e-006,1.80395e-005,3.06218e-005,3.57213e-005,3.92066e-005,4.23687e-005,4.53928e-005,4.82646e-005,5.09469e-005,5.33923e-005,5.55478e-005,5.73593e-005,5.87775e-005,5.97624e-005,6.02893e-005,6.03527e-005,5.99663e-005,5.91628e-005,5.799e-005,5.65078e-005,5.47854e-005,5.28958e-005,5.09114e-005,4.88988e-005,4.69169e-005,4.5016e-005,4.32357e-005,4.16038e-005,4.01382e-005,3.88493e-005,3.77418e-005,3.68146e-005,3.60615e-005,3.54737e-005,3.50413e-005,3.47532e-005,3.45972e-005,3.45621e-005,3.46366e-005,3.48096e-005,3.50691e-005,3.54034e-005,3.58018e-005,3.62555e-005,3.67576e-005,3.73029e-005,3.78869e-005,3.85056e-005,3.9155e-005,3.98315e-005,4.05312e-005,
9,1.48284e-006,1.69874e-005,2.93741e-005,3.43547e-005,3.7658e-005,4.06369e-005,4.35016e-005,4.62464e-005,4.88377e-005,5.123e-005,5.33721e-005,5.5211e-005,5.66981e-005,5.7793e-005,5.84694e-005,5.87185e-005,5.85496e-005,5.799e-005,5.70803e-005,5.58732e-005,5.44302e-005,5.28165e-005,5.10974e-005,4.93334e-005,4.75781e-005,4.58781e-005,4.42705e-005,4.27817e-005,4.14293e-005,4.02247e-005,3.91739e-005,3.82774e-005,3.75311e-005,3.69287e-005,3.6463e-005,3.61252e-005,3.59057e-005,3.57949e-005,3.57836e-005,3.58622e-005,3.60205e-005,3.62481e-005,3.65358e-005,3.68756e-005,3.72611e-005,3.76877e-005,3.81509e-005,3.8647e-005,3.91725e-005,3.97237e-005,4.02973e-005,
9.5,1.37292e-006,1.59561e-005,2.81502e-005,3.30014e-005,3.61021e-005,3.88709e-005,4.15448e-005,4.41288e-005,4.65939e-005,4.88979e-005,5.09925e-005,5.28272e-005,5.43555e-005,5.55378e-005,5.63471e-005,5.67723e-005,5.68187e-005,5.65078e-005,5.58732e-005,5.49596e-005,5.38196e-005,5.25097e-005,5.10868e-005,4.96036e-005,4.81078e-005,4.66406e-005,4.52358e-005,4.39177e-005,4.27034e-005,4.16045e-005,4.06285e-005,3.97774e-005,3.90493e-005,3.84406e-005,3.79469e-005,3.75623e-005,3.72795e-005,3.70913e-005,3.69904e-005,3.69692e-005,3.70193e-005,3.71321e-005,3.72997e-005,3.75153e-005,3.77733e-005,3.80693e-005,3.83993e-005,3.876e-005,3.9148e-005,3.95602e-005,3.99933e-005,
10,1.27116e-006,1.49459e-005,2.69416e-005,3.16559e-005,3.45441e-005,3.70882e-005,3.95528e-005,4.19541e-005,4.42687e-005,4.64588e-005,4.84798e-005,5.02849e-005,5.18308e-005,5.30797e-005,5.40051e-005,5.45943e-005,5.4849e-005,5.47854e-005,5.44302e-005,5.38196e-005,5.2997e-005,5.20096e-005,5.09047e-005,4.97266e-005,4.85153e-005,4.73064e-005,4.6129e-005,4.50048e-005,4.39498e-005,4.29759e-005,4.20913e-005,4.12998e-005,4.06016e-005,3.99958e-005,3.9481e-005,3.90542e-005,3.87108e-005,3.84459e-005,3.82546e-005,3.81313e-005,3.80696e-005,3.80628e-005,3.81045e-005,3.81893e-005,3.83123e-005,3.84697e-005,3.86579e-005,3.88739e-005,3.91148e-005,3.93778e-005,3.966e-005,
10.5,1.17776e-006,1.39613e-005,2.57482e-005,3.03227e-005,3.29979e-005,3.5314e-005,3.75615e-005,3.97688e-005,4.19187e-005,4.39781e-005,4.59071e-005,4.76634e-005,4.92074e-005,5.05044e-005,5.1529e-005,5.22677e-005,5.27195e-005,5.28958e-005,5.28165e-005,5.25097e-005,5.20096e-005,5.13534e-005,5.05787e-005,4.97203e-005,4.88103e-005,4.78774e-005,4.69456e-005,4.60333e-005,4.51548e-005,4.43218e-005,4.35433e-005,4.28245e-005,4.21676e-005,4.15745e-005,4.10467e-005,4.05842e-005,4.01852e-005,3.98472e-005,3.95677e-005,3.93433e-005,3.91698e-005,3.90422e-005,3.89562e-005,3.89075e-005,3.88921e-005,3.89069e-005,3.89487e-005,3.90149e-005,3.91033e-005,3.92113e-005,3.93366e-005,
11,1.09218e-006,1.30117e-005,2.45784e-005,2.90138e-005,3.14837e-005,3.3577e-005,3.56093e-005,3.76204e-005,3.96e-005,4.152e-005,4.33455e-005,4.50391e-005,4.6566e-005,4.78948e-005,4.9002e-005,4.98742e-005,5.05083e-005,5.09114e-005,5.10974e-005,5.10868e-005,5.09047e-005,5.05787e-005,5.01362e-005,4.96026e-005,4.90015e-005,4.8354e-005,4.76787e-005,4.699e-005,4.63001e-005,4.56203e-005,4.496e-005,4.43254e-005,4.37207e-005,4.31503e-005,4.26187e-005,4.21286e-005,4.16812e-005,4.12764e-005,4.0914e-005,4.05929e-005,4.03111e-005,4.00656e-005,3.98539e-005,3.96732e-005,3.95203e-005,3.93928e-005,3.92881e-005,3.92042e-005,3.91391e-005,3.90909e-005,3.90577e-005,
11.5,1.01326e-006,1.21074e-005,2.34433e-005,2.77447e-005,3.00228e-005,3.1906e-005,3.3732e-005,3.55524e-005,3.73633e-005,3.91419e-005,4.08585e-005,4.24809e-005,4.39791e-005,4.53257e-005,4.64997e-005,4.74881e-005,4.82866e-005,4.88988e-005,4.93334e-005,4.96036e-005,4.97266e-005,4.97203e-005,4.96026e-005,4.93896e-005,4.90957e-005,4.8735e-005,4.83197e-005,4.78601e-005,4.73659e-005,4.68475e-005,4.63143e-005,4.57736e-005,4.5231e-005,4.46933e-005,4.41677e-005,4.36598e-005,4.31731e-005,4.27102e-005,4.2273e-005,4.18629e-005,4.14799e-005,4.1123e-005,4.07916e-005,4.04842e-005,4.01988e-005,3.99335e-005,3.96865e-005,3.94562e-005,3.92412e-005,3.90401e-005,3.88515e-005,
12,9.39555e-007,1.12618e-005,2.23593e-005,2.6534e-005,2.86382e-005,3.03288e-005,3.19631e-005,3.36036e-005,3.52529e-005,3.68936e-005,3.85007e-005,4.00476e-005,4.1509e-005,4.28616e-005,4.40871e-005,4.5174e-005,4.61169e-005,4.69169e-005,4.75781e-005,4.81078e-005,4.85153e-005,4.88103e-005,4.90015e-005,4.90957e-005,4.90994e-005,4.90187e-005,4.88597e-005,4.86283e-005,4.83315e-005,4.79785e-005,4.75785e-005,4.7139e-005,4.66672e-005,4.61719e-005,4.56626e-005,4.51473e-005,4.46321e-005,4.41218e-005,4.36206e-005,4.31318e-005,4.26576e-005,4.21992e-005,4.17574e-005,4.13324e-005,4.09231e-005,4.05284e-005,4.0147e-005,3.97782e-005,3.94209e-005,3.90742e-005,3.87373e-005,
